,tweets
0,#GoldenGlobes Best Original Song - Motion Picture goes to Skyfall Adeleeeeeeeee ♥ :D yay!
1,Best Original Song Motion Picture goes to Adele for Skyfall!!! #GoldenGlobes
2,RT @WSJspeakeasy: 'Skyfall' by Adele wins Best Original Song Motion Picture. #GoldenGlobes
3,And the #GoldenGlobe for Best Original Song in a Motion Picture goes to... Adele for #Skyfall!!! #GoldenGlobes
4,RT @nbc: “Skyfall” from Skyfall wins for Best Original Song - Motion Picture! #GoldenGlobes
5,RT @nbc: “Skyfall” from Skyfall wins for Best Original Song - Motion Picture! #GoldenGlobes
6,"""@nbc: “Skyfall” from Skyfall wins for Best Original Song - Motion Picture! #GoldenGlobes"" tough category but Im so happy she won!"
7,RT @nbc: “Skyfall” from Skyfall wins for Best Original Song - Motion Picture! #GoldenGlobes
8,"RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/bEbOJaJ5"
9,RT @washingtonpost: Adele's #Skyfall wins best original song for motion picture http://t.co/2aZhCCha #GoldenGlobes
10,RT @washingtonpost: Adele's #Skyfall wins best original song for motion picture http://t.co/2aZhCCha #GoldenGlobes
11,"RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/bEbOJaJ5"
12,"From ""Skyfall"" RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/ff6N4FFj"
13,"“@THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/LdDLVU4s”"
14,"If you have not seen this movie... go, now. RT @nbc: “Skyfall” from Skyfall wins for Best Original Song - Motion Picture! #GoldenGlobes"
15,"RT @OKMagazine: Hooray for @OfficialAdele, winner for ""Skyfall"" Best Original Song from a Motion Picture! We love when she makes a speech! #GoldenGlobes"
16,RT “@Bumpshack: #GoldenGlobes Best Original Song Motion Picture goes to Adele.. http://t.co/sn0eu1Cq”
17,Yay! RT@WSJspeakeasy: 'Skyfall' by Adele wins Best Original Song Motion Picture. #GoldenGlobes
18,"RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/bEbOJaJ5"
19,"Adele's ""Skyfall"" wins for best original song - motion picture. #GoldenGlobes http://t.co/N2LbbLQQ"
20,"RT @bookishbelle: Best Original Song for Motion Picture winner is ""Skyfall"" by Adele! #GoldenGlobes"
21,"RT @MovieBoozer: Best original song for a motion picture; winner is… Skyfall, music by Adele! #JDF #GoldenGlobes"
22,RT @nbc: “Skyfall” from Skyfall wins for Best Original Song - Motion Picture! #GoldenGlobes
23,"RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/bEbOJaJ5"
25,RT @CityNews: Best Original Song in a Motion Picture goes to Skyfall - music and lyrics by @OfficialAdele #GoldenGlobes
26,RT @washingtonpost: Adele's #Skyfall wins best original song for motion picture http://t.co/2aZhCCha #GoldenGlobes
27,"RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/bEbOJaJ5"
28,RT @washingtonpost: Adele's #Skyfall wins best original song for motion picture http://t.co/2aZhCCha #GoldenGlobes
29,RT @NBCNewsEnt: Adele's #Skyfall wins best original song in a motion picture http://t.co/LBLSueoS #GoldenGlobes
30,RT @TODAY_ent: Adele's #Skyfall wins best original song in a motion picture http://t.co/sKR3pN9e #GoldenGlobes
31,"""@washingtonpost: Adele's #Skyfall wins best original song for motion picture http://t.co/mtctO3zx #GoldenGlobes"""
32,"HELL YEAH! Adele won Best Original Song in a Motion Picture for ""Skyfall"" #GoldenGlobes"
33,RT @washingtonpost: Adele's #Skyfall wins best original song for motion picture http://t.co/2aZhCCha #GoldenGlobes
34,"RT @nbcbayarea: Adele's ""Skyfall"" wins for best original song - motion picture. #GoldenGlobes http://t.co/N2LbbLQQ"
35,"RT @THR: ""Skyfall"" from ""Skyfall"" wins the #GoldenGlobe for Best Original Song in a Motion Picture. http://t.co/bEbOJaJ5"
36,RT @TODAY_ent: Adele's #Skyfall wins best original song in a motion picture http://t.co/sKR3pN9e #GoldenGlobes
37,Yay! Skyfall won at the Golden Globes for best original song in a motion picture! #BondJamesBond.
38,RT @TODAY_ent: Adele's #Skyfall wins best original song in a motion picture http://t.co/sKR3pN9e #GoldenGlobes
39,"How did ""safe and sound"" not win best original song for a motion picture at the #GoldenGlobes"
40,":) RT @nbcsandiego: Original song from a motion picture goes to #Adele (@OfficialAdele) for ""Skyfall"" http://t.co/47JuhN3I #GoldenGlobes"
41,RT @nbc: “Skyfall” from Skyfall wins for Best Original Song - Motion Picture! #GoldenGlobes
42,RT @washingtonpost: Adele's #Skyfall wins best original song for motion picture http://t.co/2aZhCCha #GoldenGlobes
43,RT @washingtonpost: Adele's #Skyfall wins best original song for motion picture http://t.co/2aZhCCha #GoldenGlobes
44,RT @TODAY_ent: Adele's #Skyfall wins best original song in a motion picture http://t.co/sKR3pN9e #GoldenGlobes
45,"RT @USATODAY: New ""mum"" Adele wins best original song in a motion picture for ""Skyfall"" http://t.co/4W5nFdWH #GoldenGlobes"
