,tweets
0,We know you've seen all the nominees in the Best Animated Feature Film category! Who do you think will win?
1,"""And the golden globe for animated feature film goes to... THE LEGO MOVIE!!!""

*Crowd gives standing ovation for greatest movie ever"
2,"Best Animated Feature Film: Big Hero 6, The Lego Movie, The Book Of Life, The Boxtrolls, How To Train Your Dragon 2 #GoldenGlobes"
3,Winner of #GoldenGlobe for Best Animated Feature Film: How to Train Your Dragon 2 http://t.co/j6H6D61sGQ
4,Best animated feature film to How to train Your Dragon 2  #goldenglobes
5,Best Animated Feature Film went to How To Train Your Dragon 2  #GoldenGlobes http://t.co/7SZ7xsA9cZ
6,Best Animated Feature Film: How to Train Your Dragon 2 #GoldenGlobes
7,Best Animated Feature Film - How To Train Your Dragon 2  - #GoldenGlobes
8,Best Animated Feature Film: WINNER: How To Train Your Dragon 2! #GoldenGlobes
9,Winner for Animated Feature Film: #HowToTrainADragon2 #GoldenGlobes
10,#HowtoTrainYourDragon2 wins best animated feature film. #GoldenGlobes http://t.co/5WfRWfortU http://t.co/fbEmdTv9JL
11,How To Train Your Dragon 2 wins for Best Animated Feature Film #GoldenGlobes http://t.co/nnaSX8yGer
12,"#BestAnimatedFeatureFilm 
Goes To
#HowToTrainYourDragon2

#GoldenGlobes2015"
13,RT @goldenglobes: Best Animated Feature Film - How To Train Your Dragon 2  - #GoldenGlobes
14,The award for Best Animated Feature Film goes to “How to Train Your Dragon 2” #GoldenGlobes
15,RT @goldenglobes: Best Animated Feature Film - How To Train Your Dragon 2  - #GoldenGlobes
16,RT @goldenglobes: Best Animated Feature Film - How To Train Your Dragon 2  - #GoldenGlobes
17,Best Animated Feature Film: How to Train Your Dragon 2 #GoldenGlobes
18,"Best Animated Feature Film nominees: Big Hero 6, The Book of Life, The Boxtrolls, How To Train Your Dragon 2, The Lego Movie #GoldenGlobes"
19,Best Animated Feature Film goes to... HOW TO TRAIN YOUR DRAGON 2 #GoldenGlobes
20,RT @goldenglobes: Best Animated Feature Film - How To Train Your Dragon 2  - #GoldenGlobes
21,RT @goldenglobes: Best Animated Feature Film - How To Train Your Dragon 2  - #GoldenGlobes
22,RT @goldenglobes: Best Animated Feature Film - How To Train Your Dragon 2  - #GoldenGlobes
23,RT @goldenglobes: Best Animated Feature Film - How To Train Your Dragon 2  - #GoldenGlobes
24,RT @goldenglobes: Best Animated Feature Film - How To Train Your Dragon 2  - #GoldenGlobes
25,RT @goldenglobes: Best Animated Feature Film - How To Train Your Dragon 2  - #GoldenGlobes
